Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,United Kingdom,22963
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,United States,247475
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Viet Nam,296
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Arab Emirates United,198
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,China,24839
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Germany,333
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,India,594
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Japan,610
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Korea Republic of,2771
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Malaysia,147
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Philippines,80
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Singapore,4310
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,Thailand,351
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,United Kingdom,10
Exports,2022,848610, Machines and apparatus for the manufacture of boules or wafers,United States,8153
Exports,2022,848620, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,Austria,7521
Exports,2022,848620, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,Brazil,30
