reporter_code,total_exports,year
CHN,6280519944,2019
CHN,1762453821,2019
CHN,1679599486,2019
CHN,72033842,2019
CHN,1093585683,2019
CHN,3902254816,2019
CHN,2451592741,2019
CHN,1697644892,2019
CHN,1550200562,2019
CHN,3082657704,2019
CHN,1072546440,2019
CHN,260048133,2019
CHN,52141790587,2019
CHN,347985885,2019
CHN,435101130,2019
CHN,1159831724,2019
CHN,14411171,2019
CHN,1025918095,2019
CHN,806389484,2019
CHN,46382164507,2019
CHN,55153292552,2019
CHN,1826589978,2019
CHN,129312171,2019
CHN,113816509,2019
CHN,419097,2019
CHN,4034544667,2019
CHN,1957695041,2019
CHN,3020944207,2019
CHN,198173902,2019
CHN,1226911,2019
CHN,1482477643,2019
CHN,73978795554,2019
CHN,58958250,2019
CHN,38994192,2019
CHN,10073,2019
CHN,156063530,2019
CHN,77252088,2019
CHN,5736304819,2019
CHN,502071632,2019
CHN,287335090,2019
CHN,16622615020,2019
CHN,6809,2019
CHN,485333,2019
CHN,3729229,2019
CHN,3448822425,2019
CHN,18645796,2019
CHN,2383336287,2019
CHN,18625810,2019
CHN,16166921086,2019
CHN,7944500688,2019
CHN,800430424,2019
CHN,1432117001,2019
CHN,8513082009,2019
CHN,40763851931,2019
CHN,23880107357,2019
CHN,4366438258,2019
CHN,31938678,2019
CHN,142948758,2019
CHN,2409678189,2019
CHN,2336645,2019
CHN,4573438493,2019
CHN,49748486510,2019
CHN,265074997,2019
CHN,9711865,2019
CHN,21559712,2019
CHN,65535,2019
CHN,21291500,2019
CHN,3861037,2019
CHN,8920559,2019
CHN,23876505592,2019
CHN,2211022084,2019
CHN,1032967143,2019
CHN,65646954,2019
CHN,313540796,2019
CHN,74825299130,2019
CHN,54798488296,2019
CHN,2923824133,2019
CHN,97868882174,2019
CHN,3411523282,2019
CHN,731381515,2019
CHN,16542941878,2019
CHN,368804693,2019
CHN,26899372435,2019
CHN,122242186,2019
CHN,2289681192,2019
CHN,71950,2019
CHN,234528148,2019
CHN,42483941,2019
CHN,8537756003,2019
CHN,4597730847,2019
CHN,1313807451,2019
CHN,1590067934,2019
CHN,45584838927,2019
CHN,2130751253,2019
CHN,29442677,2019
CHN,363501691,2019
CHN,33412894763,2019
CHN,1364201748,2019
CHN,17323704712,2019
CHN,430853257,2019
CHN,3024678,2019
CHN,21737807,2019
CHN,740648831,2019
CHN,7399574556,2019
CHN,134827020,2019
CHN,12200705391,2019
CHN,62425024434,2019
CHN,3811416296,2019
CHN,419322648638,2019
CHN,261612964,2019
CHN,1948990863,2019
CHN,5032088425,2019
CHN,1540075399,2019
CHN,714898,2019
CHN,87846760,2019
CHN,2819028984,2019
CHN,970348920,2019
CHN,23676940,2019
CZE,31173226,2019
CZE,57962292,2019
CZE,92890141,2019
CZE,1794,2019
CZE,2483960,2019
CZE,17067487,2019
CZE,67057,2019
CZE,59220185,2019
CZE,58558213,2019
CZE,436163716,2019
CZE,8556543321,2019
CZE,300449,2019
CZE,34127029,2019
CZE,46862961,2019
CZE,53321614,2019
CZE,153034,2019
CZE,4165647802,2019
CZE,73380,2019
CZE,7856,2019
CZE,8147724,2019
CZE,180142919,2019
CZE,593119,2019
CZE,357580300,2019
CZE,636888,2019
CZE,2271326,2019
CZE,1742516,2019
CZE,1039573395,2019
CZE,6706468,2019
CZE,884836,2019
CZE,309904031,2019
CZE,4952607,2019
CZE,3246854,2019
CZE,337201492,2019
CZE,830328,2019
CZE,155824,2019
CZE,169786,2019
CZE,8141375,2019
CZE,3585637,2019
CZE,84900211,2019
CZE,2469651020,2019
CZE,67162897,2019
CZE,9849853,2019
CZE,6107999,2019
CZE,7560194,2019
CZE,689805807,2019
CZE,54600487,2019
CZE,118398455,2019
CZE,1888859,2019
CZE,2004450327,2019
CZE,5263652,2019
CZE,24202395,2019
CZE,12355068,2019
CZE,3877730,2019
CZE,16037470,2019
CZE,17186,2019
CZE,397927407,2019
CZE,2898966,2019
CZE,204519,2019
CZE,1051238285,2019
CZE,10242845420,2019
CZE,1314171,2019
CZE,1692677,2019
CZE,393748,2019
CZE,1635580,2019
CZE,96528082,2019
CZE,457201,2019
CZE,13842073,2019
CZE,63526531285,2019
CZE,15975419,2019
CZE,388095,2019
CZE,1054,2019
CZE,514593733,2019
CZE,626029,2019
CZE,65957,2019
CZE,1639,2019
CZE,8396465,2019
CZE,976537,2019
CZE,206676,2019
CZE,5092,2019
CZE,5893,2019
CZE,4929544,2019
CZE,430725252,2019
CZE,6495043435,2019
CZE,37999425,2019
CZE,206558500,2019
CZE,29667900,2019
