layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,reporter_rank,reporter_export_share,reporter_selection_reason
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",NLD,Netherlands,5944135.152,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",IND,India,2561036.732,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",SGP,Singapore,19425916.279,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",CHE,Switzerland,1565379.772,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",THA,Thailand,4311416.227,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",USA,USA,25274038.667,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",BEL,Belgium,8325725.563,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",CHN,China,1061910804.922,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",FRA,France,2096305.646,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",DEU,Germany,33937531.577,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",ISR,Israel,1281536.636,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",ITA,Italy,1318035.139,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",JPN,Japan,4982350.988,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",KOR,Rep. of Korea,3105779.774,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",MYS,Malaysia,10896381.243,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",MEX,Mexico,4941396.97,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",NLD,Netherlands,8236603.251,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",PHL,Philippines,4191841.061,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",IND,India,32581915.373,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",SGP,Singapore,28122115.913,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",VNM,Viet Nam,52378711.269,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",THA,Thailand,6708399.765,1,0.20348341453719776,coverage_threshold
layer2_backend,854160,Crystals; mounted piezo-electric,2022,HKG,"China, Hong Kong SAR",GBR,United Kingdom,11950584.057,1,0.20348341453719776,coverage_threshold
